"","ibge_code","ibge_name","taxes_2010","taxes_2014","gdp_2010","gdp_2014","pop_2010","pop_2014","taxes_per_capita","taxes_per_gdp","taxes_growth","gdp_growth","pop_growth","Center","Left","Right","Total","delta"
"102",2406502,"Lagoa Nova",3030.119,11426.379,59903.832,153851.964,13990,15110,0.756213037723362,0.0742686586698367,0.393516884193673,0.265937048485724,0.0194400407571385,3,6099,1853,7955,0.533752357008171
"103",5219738,"Santo Antônio de Goiás",3498.504,6500.239,53199.375,136428.066,4690,5391,1.20575755889445,0.0476459074044193,0.167513033652345,0.265462552680407,0.0354380547732895,1,2177,1535,3713,0.172906005925128
"104",3204203,"Piúma",13584.268,21689.834,264652.968,676614.271,18123,20395,1.06348781564109,0.0320564240655811,0.124100126771274,0.264492029497638,0.029967224370985,6,6826,2834,9666,0.412993999586178
"105",1711902,"Lagoa da Confusão",8793.684,28418.242,170220.104,433354.403,10215,11859,2.39634387385108,0.0655773699384797,0.340777113880499,0.263159202787573,0.0380121202098453,1,3511,1357,4869,0.442390634627233
"106",2508604,"Lucena",5039.271,22266.058,75428,191241.344,11730,12635,1.76225231499802,0.116429102276127,0.449836087373306,0.261863268512164,0.0187539568028936,3,5462,1230,6695,0.632113517550411
"107",2905008,"Caculé",14719.554,49403.048,118070.57,298576.27,22231,23392,2.11196340629275,0.165462071048044,0.353520298753388,0.261038677543789,0.0128079208147693,7,7237,3948,11192,0.293870621872766
"108",4315149,"Presidente Lucena",3866.964,10030.079,35205.237,88862.81,2485,2679,3.74396379245987,0.112871503838332,0.269064092572991,0.260457458608155,0.0189704275337474,1,844,1050,1895,-0.108707124010554
"109",5108006,"Tapurah",22512.681,49446.878,254163.052,639923.309,10390,11950,4.13781405857741,0.077270006115686,0.217384911284281,0.25966156459119,0.0355905754836348,1,2009,2747,4757,-0.155139793987807
"110",1505437,"Ourilândia do Norte",52492.43,33511.807,326028.765,820014.818,27564,30171,1.11072907759106,0.0408673188147193,-0.106128085153632,0.259335497975384,0.0228498031077748,1,8885,4641,13527,0.313742884601168
"111",3166402,"Seritinga",885.928,1110.4,15837.241,39774.841,1790,1860,0.596989247311828,0.0279171449107741,0.0580842658647245,0.258873906309684,0.00963635045764755,4,713,662,1379,0.0369833212472806
"112",2927101,"Rodelas",2032.06,3524.895,33518.846,83883.658,7779,8763,0.402247517973297,0.042021236126827,0.147631379039726,0.257757963353303,0.0302254164425455,0,4077,388,4465,0.826203807390817
"113",3533809,"Óleo",-1025.519,149.235,30900.284,77232.119,2673,2652,0.0562726244343891,0.0019322919263681,NA,0.257357770006537,-0.00196989840659134,1,778,1208,1987,-0.216406643180674
"114",4208450,"Itapoá",13123.535,51613.528,179832.199,448634.58,14775,17521,2.94580948575995,0.115045808550915,0.408244870563814,0.256771497111704,0.0435369948366322,10,4355,3451,7816,0.115660184237462
"115",2401305,"Augusto Severo",2552.921,5473.088,41811.057,104156.567,9289,9688,0.564934764657308,0.0525467395637185,0.210037316593584,0.256315961648125,0.0105697446913893,3,5137,687,5827,0.763686287969796
"116",1301407,"Eirunepé",2301.598,2781.801,151776.997,377237.601,30666,33580,0.0828410065515188,0.00737413500834982,0.0485137904703863,0.255602739659845,0.0229534941362808,2,9453,1739,11194,0.689119170984456
"117",3125101,"Extrema",463945.452,1355321.171,1884763.511,4676285.294,28564,32402,41.8283183445466,0.289828589530021,0.307355881890468,0.255050015615365,0.0320202009175898,3,8461,9809,18273,-0.0737700432331856
"118",5104906,"Jangada",5417.059,8791.106,103525.816,256025.878,7696,7889,1.11434985422741,0.0343367868462109,0.128677812349473,0.254032524451274,0.00621137879004108,1,3493,1049,4543,0.537970504072199
"119",2606200,"Goiana",88000.819,529146.698,901542.023,2223371.794,75648,78287,6.75906214313998,0.237992898636187,0.5659299989358,0.253160014870325,0.00860948999481881,8,41201,1766,42975,0.917626527050611
"120",5108907,"Nova Maringá",10729.769,20374.669,138358.708,340822.749,6590,7546,2.70006215213358,0.0597808364018565,0.173883633013627,0.252796465043088,0.0344460522870069,1,1315,1216,2532,0.0390995260663507
"121",1703305,"Bom Jesus do Tocantins",593.738,1208.904,28849.247,70968.955,3768,4361,0.277207979821142,0.0170342651938443,0.1945359989627,0.252372382981786,0.0372150222438201,1,1585,585,2171,0.460617227084293
"122",4211256,"Morro Grande",5033.625,8903.884,62462.785,153479.145,2890,2925,3.04406290598291,0.0580136408760943,0.153253174820543,0.252007720010939,0.0030140277151447,0,925,1439,2364,-0.217428087986464
"123",4118907,"Pérola",9156.632,25362.893,217256.628,532132.514,10208,10852,2.33716301142646,0.0476627387590904,0.29007737051256,0.251012618444367,0.0154119752081887,0,3513,2944,6457,0.0881214186154561
"124",2402501,"Carnaubais",6659.859,6594.691,85201.689,208263.997,9775,10628,0.620501599548363,0.0316650553864094,-0.00245532618408728,0.250378503680077,0.021136252682477,9,5266,791,6066,0.737718430596769
"125",2103406,"Coelho Neto",10635.366,19013.635,184327.758,450446.266,46792,48078,0.395474749365614,0.0422106618150987,0.156320374772698,0.250296635770432,0.00680113435393537,7,19668,1704,21379,0.840263810281117
"126",4216800,"São José do Cerrito",4270.318,4249.075,92018.62,224630.912,9273,8941,0.475234873056705,0.0189158070996035,-0.00124596947130196,0.249966722645073,-0.00907346344072157,1,3457,2067,5525,0.25158371040724
"127",2304509,"Frecheirinha",3126.525,14691.332,64827.852,157837.629,12991,13473,1.09042767015512,0.0930787676745955,0.472311881616054,0.249143202829426,0.00914931965757537,1,6735,1052,7788,0.729712378017463
"128",5107354,"São José do Xingu",6766.274,10794.186,75128.384,182356.186,5267,5354,2.01609749719836,0.0591928699364221,0.123854474974346,0.248185442832257,0.00410415020085897,0,1140,1250,2390,-0.0460251046025105
"129",2931004,"Tanhaçu",4282.995,9614.486,85352.674,206931.355,20022,21264,0.452148513920241,0.046462199988977,0.224037226043317,0.247821006441883,0.0151597185010777,1,8480,3525,12006,0.412710311510911
